recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Healthier Crema de Fruta,20.0,20.0,,749.355,113.3925,13.685,30.15,22.77,1.325,364.715,477.2075,2.89,106.8825,677.1875,7.335,155.355,2.4125,,239.7125,0.0,RecipeDB,0
Karioka Sweet Rice Balls,10.0,10.0,,1310.7,50.6775,4.0625,126.985,104.44,2.0825,14.6,237.8575,3.7375,16.135,0.0,1.92,25.3625,1.4575,,0.0,0.0,RecipeDB,0
Melon Ice Candy,,,,602.9925,104.4825,5.87,22.305,19.2475,0.6,86.6925,1448.9225,6.06,101.03,15340.51,168.985,55.84,2.4575,,0.0,0.0,RecipeDB,0
Maja Blanca Maiz (Corn Pudding),5.0,30.0,,568.07,87.18,4.64,24.4,21.29,0.41,15.5,294.02,3.1475,53.285,0.0,2.8,20.45,1.8025,,0.0,0.0,RecipeDB,0
Maja Blanca,5.0,60.0,,442.3675,47.955,3.0275,28.7075,25.3775,0.3475,19.9525,334.82,2.955,29.18,15.465,3.36,20.1,2.08,,0.0,0.0,RecipeDB,0
Cassava Cake,20.0,60.0,,242.645,5.1625,5.1975,23.8225,19.7975,0.7125,48.9925,271.08,1.9775,3.095,135.0,2.5175,28.3925,1.9125,,93.0,0.03,RecipeDB,0
Barquillos (Wafer Rolls),20.0,5.0,,279.3525,33.105,7.14,14.4275,2.015,6.31,49.9325,153.1475,2.79,25.1975,20.1,0.0,127.52,0.7775,,0.0,0.0,RecipeDB,0
Buchi,30.0,40.0,,118.8125,24.995,4.9075,0.1225,0.03,0.04,18.2925,57.52,0.0,24.95,24.79,0.0,35.4275,0.3575,,12.395,0.0,RecipeDB,0
Biko,15.0,45.0,,1428.0625,294.6775,14.745,22.4625,19.22,0.6,54.7525,477.8975,7.1575,140.685,0.0,2.5175,131.825,4.9875,,0.0,0.0,RecipeDB,0
Mamon (Sponge Cakes),45.0,40.0,,590.225,55.91,12.775,36.4325,25.46,1.8725,493.06,257.45,0.365,52.4275,544.2125,14.4125,260.925,1.465,,368.9,0.0,RecipeDB,0
Latik (Fried Coconut Milk Curd),10.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,11.85,0.0,,0.0,0.0,RecipeDB,0
Philippine Butter Cookies,5.0,12.0,,1038.7075,173.8425,15.7,32.4225,5.215,13.3675,231.0,428.65,6.6375,50.0375,242.7,0.0,343.48,2.8925,,139.5,0.05,RecipeDB,0
Maja Blanca (Coconut Pudding),15.0,10.0,,324.9525,45.9625,1.9,16.11,14.1825,0.2175,12.635,200.9025,2.1425,27.56,20.62,1.845,14.2725,1.2275,,0.0,0.0,RecipeDB,0
Puto,20.0,30.0,,702.975,106.4575,11.4775,28.5775,21.36,1.6675,488.47,342.77,1.985,103.08,405.0,2.5175,269.0,3.2175,,279.0,0.11,RecipeDB,0
Chicken Afritada (Filipino Stew),40.0,48.0,,68.485,8.9925,1.2075,3.6025,2.81,0.135,29.48,258.105,2.07,4.2125,5657.215,10.6525,45.3325,0.3175,,0.0,0.0,RecipeDB,0
Pork Afritada,30.0,30.0,,1829.5,15.24,70.365,164.52,54.295,18.11,2769.0575,1412.5025,1.8675,4.15,32647.155,17.16,92.6825,27.69,,597.05,0.0,RecipeDB,0
Abalos-Style Hamburger Soup (Picadillo Filipino),20.0,45.0,,256.8625,6.8275,23.5925,14.5975,6.09,0.655,820.725,535.955,1.2875,3.25,381.165,10.1725,60.8075,2.595,,70.305,3.4,RecipeDB,0
Caldereta (Filipino Beef and Chorizo Stew),20.0,80.0,,880.55,26.555,73.2025,53.4575,19.09,4.5375,2256.4425,1751.7375,3.9325,3.4475,332.175,46.97,99.4,8.7925,,224.4425,2.68,RecipeDB,0
Sinigang na Baka,15.0,45.0,,213.9375,11.49,24.785,7.9175,0.73,2.31,86.7725,656.735,3.29,5.845,1263.47,22.625,175.15,2.52,,56.665,0.11,RecipeDB,0
Caldereta (Filipino Beef Stew),20.0,65.0,,593.9275,81.42,24.7825,20.465,12.225,0.9025,757.0675,1806.7025,7.8625,32.14,733.5975,38.44,159.2725,7.745,,50.445,0.0,RecipeDB,0
Lisa's Adobo,20.0,90.0,,528.71,5.975,25.565,45.7475,26.505,3.5375,286.1625,833.755,2.04,3.0325,0.27,34.0725,42.5025,5.155,,4978.27,0.0,RecipeDB,0
Beef Nilaga,30.0,90.0,,1461.755,14.5525,91.0775,112.915,46.0,4.0425,368.0275,1962.565,3.6625,6.8525,10837.12,10.6875,103.5,9.97,,347.0025,0.0,RecipeDB,0
Filipino Menudo (Pork and Liver Stew),25.0,50.0,,1007.1125,140.62,38.4875,33.7575,8.515,5.025,2670.655,980.295,16.64,23.395,8948.505,21.7275,71.015,10.0475,,115.6675,0.0,RecipeDB,0
Papaya Soup,20.0,35.0,,79.6975,3.2425,0.8025,7.19,5.7225,0.26,36.7875,42.06,0.29,0.63,222.3775,3.8625,51.0475,0.18,,0.35,0.0,RecipeDB,0
