recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Corned Beef Hash (Abalos style),15.0,30.0,,59.83,6.9,1.12,3.565,2.805,0.115,4.9,202.7875,1.4125,3.1925,466.275,11.545,20.2125,0.285,,0.0,0.0,RecipeDB,0
Sati Babi,15.0,15.0,,344.9275,6.54,69.7025,2.965,0.9525,0.7175,1402.88,950.7625,1.21,3.15,359.8425,1.8625,437.845,6.3325,,170.0,0.0,RecipeDB,0
Chicken Adobo with Noodles Filipino-Mexican Fusion,15.0,35.0,,43.01,7.5525,2.4425,0.8575,0.0725,0.165,887.65,258.7475,0.9875,1.325,194.72,5.1675,43.3725,2.5575,,0.0,0.0,RecipeDB,0
Adobo Chicken with Ginger,20.0,40.0,,27.325,2.12,2.6475,0.2025,0.0275,0.0875,1752.175,151.9975,0.315,0.195,0.0,0.15,13.675,0.4925,,0.0,0.0,RecipeDB,0
Crab Omelet,15.0,20.0,,163.6975,5.8475,10.8575,10.755,2.17,1.58,209.3375,231.415,1.1425,2.6925,502.02,12.2025,45.2575,1.7,,155.0825,0.05,RecipeDB,0
Bringhe,30.0,40.0,,808.405,48.3125,59.925,41.425,24.385,2.8475,879.03,1040.1975,4.25,4.7275,227.695,5.95,307.225,6.0775,,153.0225,0.0,RecipeDB,0
Barbecued Pork Kebabs,15.0,15.0,,250.3175,58.475,5.9275,0.44,0.0725,0.1875,3504.64,359.39,1.4125,51.89,4.2825,4.13,40.07,1.1525,,0.0,0.0,RecipeDB,0
Pochero,20.0,50.0,,1490.5275,85.0775,92.235,87.56,21.82,18.4725,410.0125,2234.335,13.255,26.0925,2407.3025,39.1025,109.3975,7.3625,,421.6,1.08,RecipeDB,0
Philippine Longanisa de Eugenio (Sweet Sausage),45.0,28.0,,1057.7125,26.08,54.1775,80.135,28.3675,8.8225,173.3675,851.2775,0.225,24.99,137.4925,1.58,187.1,3.325,,224.4975,0.0,RecipeDB,0
Embutido (Filipino Meatloaf),20.0,70.0,,706.5025,2.8575,29.085,63.285,22.345,7.2075,564.425,524.6025,0.225,0.1725,219.2525,0.68,58.545,2.01,,265.3725,0.05,RecipeDB,0
Adobong Pusit (Squid Adobo),20.0,30.0,,321.17,12.37,40.855,10.43,1.8725,2.11,337.055,809.655,1.03,2.2525,549.89,21.405,100.1075,2.0525,,594.5,0.0,RecipeDB,0
Lazy Longanisa (Filipino-Style Breakfast Sausage),10.0,15.0,,237.6925,27.1725,22.7975,3.9875,2.9175,0.2575,305.1775,314.74,0.03,26.6975,113.3325,0.0,161.14,1.84,,56.665,0.0,RecipeDB,0
Slow Cooker Chicken Afritad,10.0,180.0,,727.86,84.8225,37.585,29.085,4.155,3.6775,2275.1225,2840.9875,14.0725,19.3375,11497.4075,68.375,283.75,7.8875,,56.665,0.0,RecipeDB,0
Clams in Oyster Sauce,15.0,10.0,,115.39,6.58,6.2675,7.185,1.025,0.8,478.435,86.9375,0.7375,1.71,115.685,3.435,32.7425,0.7825,,11.475,0.02,RecipeDB,0
Pork and Shrimp Pancit,20.0,20.0,,172.535,4.785,1.3425,17.3075,13.9325,0.3325,470.4125,94.89,0.6925,1.51,710.485,4.1675,21.275,0.2425,,0.1575,0.0,RecipeDB,0
Chicken Tinola,30.0,25.0,,382.1575,7.75,76.07,3.5025,0.93,0.955,1545.28,1373.205,2.2975,2.4075,5954.6875,77.1575,543.2675,6.38,,171.525,0.0,RecipeDB,0
Filipino Beef Stir-Fry,30.0,30.0,,489.8425,18.2875,48.165,24.35,9.69,2.0725,768.2875,875.81,3.7825,6.8,6318.4,17.1875,314.3275,4.0425,,146.1325,0.0,RecipeDB,0
Quick and Easy Pancit,20.0,20.0,,90.6875,17.7325,3.095,1.5875,1.0,0.2225,965.7925,549.3975,4.5,7.9025,21385.1675,12.3825,61.345,0.75,,0.0,0.0,RecipeDB,0
Authentic Chicken Adobo,20.0,90.0,,669.775,3.885,126.505,13.5425,9.145,1.3175,2176.3875,1612.7175,0.69,0.19,628.0525,0.0275,751.79,9.4075,,311.665,0.0,RecipeDB,0
Adobo Twist,15.0,20.0,,1300.43,12.7125,25.5225,127.3375,49.4325,13.055,2702.7025,694.94,1.0625,8.435,23.48,3.64,43.4,2.0025,,163.295,0.0,RecipeDB,0
Salmon Stew (Abalos Style),10.0,25.0,,60.88,6.9525,1.1975,3.54,0.5,0.415,125.695,207.14,1.4125,3.2475,466.455,11.5525,35.705,0.315,,0.0,0.0,RecipeDB,0
Empanada Pork Filling,10.0,25.0,,504.2875,4.23,16.3075,46.565,15.055,5.03,49.6175,351.3825,0.71,1.71,10.005,3.88,33.5275,0.9275,,83.915,0.0,RecipeDB,0
Guinataan Hito (Catfish),10.0,30.0,,628.7025,9.2175,92.355,23.77,19.6175,1.015,323.62,1343.7825,2.69,4.715,454.2675,5.9475,561.2475,7.93,,226.665,0.0,RecipeDB,0
Filipino Spaghetti,15.0,40.0,,915.7675,31.905,62.125,59.5025,23.3525,5.7075,242.6775,1178.88,4.08,20.43,395.36,8.175,233.3375,5.4175,,210.8875,3.4,RecipeDB,0
Filipino Ribs,,,,1973.6,12.845,107.905,162.78,54.045,27.02,1914.6475,1893.285,1.3575,7.36,5.8625,6.105,133.2,7.1825,,544.0,6.03,RecipeDB,0
Filippino Lechon Kawali,10.0,45.0,,885.19,0.9275,16.06,90.19,32.885,9.6175,54.87,327.5275,0.12,0.0225,18.785,1.21,13.85,0.95,,122.47,0.0,RecipeDB,0
Chicken Binakol,20.0,25.0,,79.695,4.6875,0.8225,6.855,5.56,0.1225,355.2675,83.6575,0.6575,1.6775,1.5725,3.575,16.095,0.245,,0.0,0.0,RecipeDB,0
Fried Rice (Sinangag),10.0,20.0,,789.915,149.3,21.365,9.49,3.1525,1.5175,617.6825,358.8325,2.4675,0.345,135.135,0.4675,72.67,8.7175,,112.845,0.03,RecipeDB,0
Salpicao Jalisco,15.0,15.0,,683.4,0.0,69.02,43.2125,17.43,1.64,176.8,1071.0,0.0,0.0,0.0,0.0,81.6,5.03,,255.0,0.0,RecipeDB,0
Grandma Nena's Lumpia and Pancit,30.0,30.0,,286.605,13.4375,49.78,2.835,0.79,0.7175,222.7675,1138.3175,3.7175,6.0975,21498.855,8.4875,189.0825,2.955,,126.9325,0.04,RecipeDB,0
Party Pancit,15.0,15.0,,214.9,5.035,32.1625,6.6975,1.6975,1.8325,3653.325,966.7325,0.2875,1.7975,158.89,0.6375,101.6325,2.885,,32.7425,0.0,RecipeDB,0
Filipino Pork Adobo,20.0,150.0,,1150.22,12.14,46.8925,100.065,35.38,11.0775,3629.3275,1251.19,3.76,4.0,808.4625,15.63,126.8225,4.1575,,209.79,0.0,RecipeDB,0
Chicken Teriyaki,15.0,50.0,,3115.12,55.12,135.19,259.535,70.9875,52.75,8494.4825,2097.3475,2.0375,39.8625,1023.5675,3.66,144.8125,6.17,,979.1375,5.25,RecipeDB,0
Pancit,10.0,50.0,,290.1525,9.835,35.9,11.8275,3.2775,2.485,1944.8775,887.235,2.685,4.5475,12165.105,8.645,94.865,2.07,,180.765,0.22,RecipeDB,0
Filipino Garlic Fried Rice (Sinangag),,,,461.44,78.625,12.535,10.1925,1.9575,3.7975,51.69,212.22,2.665,0.22,145.05,0.0075,103.51,4.8425,,93.0,0.03,RecipeDB,0
"Beef Cubes, Pineapple Cubes, Carrots and Potato",,,,9515.46,2478.6375,112.5125,25.065,2.875,7.715,13845.9675,21050.685,265.4625,1859.1725,22032.2475,8967.285,2518.2475,56.12,,2.2675,0.0,RecipeDB,0
Bacon Garlic Fried Rice,,,,153.745,9.1175,6.9525,10.915,6.845,0.9775,1182.74,206.3825,2.04,0.19,5653.8575,6.31,41.4275,1.4,,95.31,0.05,RecipeDB,0
My Americanized Lumpia; Spring Rolls,,,,254.67,18.8825,18.5825,12.97,3.9975,2.21,540.81,831.2,6.3475,7.385,5287.245,25.705,107.29,2.72,,81.6525,1.72,RecipeDB,0
Camaron Rebosado,,,,200.695,19.22,19.98,4.0475,1.2925,0.9,680.3725,187.535,0.49,0.4925,351.15,0.0,85.69,0.755,,236.55,0.11,RecipeDB,0
Sweet Rice Rolls,,,,212.4575,6.2725,2.3425,21.4675,19.0225,0.2375,17.4975,274.405,2.535,3.715,21.805,10.66,23.2925,1.5775,,0.0,0.0,RecipeDB,0
Filipino Salad,,,,124.395,4.8,23.805,0.7575,0.1725,0.27,788.605,516.855,1.26,3.1425,872.6425,13.25,149.0025,1.9225,,56.665,0.0,RecipeDB,0
Vegetarian Lumpiang Shanghai (Similar to an Egg Roll),,,,222.6325,20.4175,26.3,3.1225,0.96,0.7425,135.4825,414.82,1.335,2.5725,2989.64,4.4075,171.965,2.26,,149.7175,0.03,RecipeDB,0
Filipino Fried Rice (Morisqueta Tostada),,,,632.4125,114.6675,15.3825,10.9075,5.4,1.2175,281.495,277.7025,2.3475,1.5075,399.655,2.6975,71.595,6.7875,,155.8825,0.05,RecipeDB,0
Rice Cakes - Putong Puti,,,,26415.7775,6600.9025,3.57,0.85,0.23,0.225,918.15,1950.14,1.445,6511.895,0.0,0.0,2774.02,24.88,,0.0,0.0,RecipeDB,0
Fried Green Beans (Peixnhos Da Horta,,,,1526.18,31.82,7.4075,155.9975,96.16,6.3975,47.7475,303.9725,3.7725,3.8225,5636.035,13.8325,76.9175,1.7075,,486.6,0.03,RecipeDB,0
Filipino Kamatis,,,,20.305,4.4275,0.97,0.1925,0.03,0.0775,5.1425,230.475,1.24,2.5175,758.865,12.66,10.9225,0.3075,,0.0,0.0,RecipeDB,0
Filipino Egg Rolls,,,,583.405,15.0975,17.6575,50.1825,15.61,8.6375,516.785,547.095,2.6275,3.68,2853.2125,34.53,60.94,1.35,,83.915,0.0,RecipeDB,0
Fresh Lumpia,,,,397.715,38.98,13.7475,20.265,8.76,2.15,671.48,258.9725,1.0775,14.2225,464.49,6.4525,62.3075,1.3225,,212.5625,0.07,RecipeDB,0
Filipino Eggplant (Aubergine) Adobo,,,,203.7475,8.785,3.055,18.5025,14.8625,0.4375,1171.33,354.8525,3.41,3.75,25.5525,3.7325,26.55,0.715,,0.0,0.0,RecipeDB,0
Lola Alma's Pancit,,,,157.505,19.985,4.9125,7.41,1.045,1.0025,1881.2275,750.8125,5.3125,8.0525,21639.1325,12.915,92.9925,1.27,,0.0,0.0,RecipeDB,0
Filipino Fried Rice,,,,585.3575,4.65,22.3675,52.7275,16.2575,9.66,1542.8525,429.2975,0.445,0.3,203.0725,4.5325,58.98,2.3825,,225.6825,0.05,RecipeDB,0
Philippine Egg Rolls Lumpia,,,,1017.9975,154.4975,28.2525,32.4275,11.235,3.9925,827.535,1248.2475,6.215,43.035,2549.6075,20.66,136.065,2.4575,,107.56,0.02,RecipeDB,0
"Filipino Spicy Sweet Potato Shoots, Tomato, Onion Salad",,,,6.7625,1.565,0.21,0.0175,0.005,0.005,0.715,25.13,0.2525,0.6125,9.545,3.115,4.5625,0.05,,0.0,0.0,RecipeDB,0
Green Beans & Mushroom,,,,46.11,9.805,2.3125,0.2025,0.0525,0.0725,663.86,221.75,2.13,4.255,174.1,8.97,31.61,0.5975,,0.0,0.0,RecipeDB,0
Pancit Bihon (or Bijon),,,,1175.51,105.16,64.02,52.405,17.6575,7.2025,1700.3,1122.3075,5.185,5.605,16739.6,12.05,171.21,3.32,,299.29,0.55,RecipeDB,0
Easy Leche Flan,,,,375.6525,7.0125,10.1475,34.98,23.8875,2.3775,39.3,294.5025,1.9775,3.4875,735.42,2.5175,86.28,2.8675,,553.35,0.0,RecipeDB,0
Mango Float,,,,18563.7475,3272.685,286.305,497.84,115.265,226.87,19295.09,7668.935,146.7575,1046.7025,84.0,5.0375,3258.2875,162.285,,0.0,9.24,RecipeDB,0
Easy Puto Cakes,,,,261.0125,28.795,3.845,15.46,13.0875,0.335,39.1875,196.65,1.32,27.19,61.285,1.68,19.2675,1.205,,46.1125,0.0,RecipeDB,0
Chicken Adobo,,,,121.1425,17.3425,10.7475,0.8375,0.14,0.3675,7007.975,613.635,1.8925,9.2875,18.87,0.0,68.3975,2.265,,0.0,0.0,RecipeDB,0
Chicken Adobo (Cook's Illustrated),,,,4224.855,16.175,91.16,422.375,128.7,82.3675,1649.285,1524.155,3.0875,3.8575,2031.3,7.2175,101.995,5.705,,951.3,8.29,RecipeDB,0
Mom's Filipino Chicken Adobo,,,,235.5925,40.985,5.3075,6.5325,1.1025,3.48,3615.3825,295.75,0.51,37.925,3.8175,0.06,35.4725,0.9775,,4.9225,0.0,RecipeDB,0
Filipino Napoleanes,,,,895.175,71.91,17.59,63.235,31.48,13.88,75.2175,613.33,8.535,42.125,346.7825,3.4525,305.7625,4.2425,,230.5625,0.0,RecipeDB,0
Lumpia (Filipino Spring Rolls),,,,480.7725,6.95,19.72,41.13,14.535,4.61,541.145,503.355,1.455,2.7475,2682.71,5.405,55.755,1.33,,130.415,0.01,RecipeDB,0
Escabeche with Papaya,,,,387.9375,73.9075,5.345,7.5525,2.8225,1.025,669.7875,310.555,3.445,21.2,697.005,48.3575,46.3025,0.75,,6.08,0.0,RecipeDB,0
Durian ice cream,,,,34725.9675,7033.345,484.0225,522.9175,304.72,30.335,6753.49,22175.9425,1.3925,7031.54,24827.57,1.775,18007.9375,29.6075,,1617.225,0.0,RecipeDB,0
Filipino Lumpia (Deep-Fried Pork Spring Rolls),,,,515.575,11.0075,19.05,42.2775,14.6775,5.21,954.9775,453.2675,0.8425,7.7575,2750.52,2.295,50.3675,1.405,,130.415,0.01,RecipeDB,0
Authentic Pineapple Sinigang,,,,831.5675,173.0275,36.3775,4.3125,1.3025,0.55,3088.4025,1529.4525,42.4175,113.92,1024.82,512.7075,165.0325,5.0625,,74.8325,0.51,RecipeDB,0
Bibingka – Filipino Coconut Cake,,,,1446.65,163.26,31.935,77.22,48.18,8.5875,1194.1525,837.255,16.71,37.675,938.88,30.0775,541.3825,6.9775,,201.83,0.05,RecipeDB,0
Goat Caldereta,,,,464.995,4.545,62.075,20.43,3.9925,1.955,200.17,1028.88,0.8625,2.2625,84.625,3.9775,49.9425,8.775,,170.0,0.0,RecipeDB,0
Bibingka (Flat Cake),,,,512.85,32.865,13.9775,39.755,22.035,7.2475,1756.255,414.315,8.54,11.4225,222.6,2.1,986.1675,4.86,,141.45,0.05,RecipeDB,0
Arroz Caldo (Filipino Rice Porridge With Chicken and Ginger),,,,339.155,60.9725,6.255,7.435,5.7125,0.2725,1066.755,221.935,1.405,0.9725,1.9575,2.3,35.4175,3.285,,0.0,0.0,RecipeDB,0
Filipino Pancit,,,,996.935,99.425,53.2725,42.16,14.7575,5.14,2849.8825,1047.075,4.1725,9.765,5915.15,19.8825,258.575,6.215,,140.5825,0.05,RecipeDB,0
Pollo Sabroso,,,,3.8,0.5325,0.29,0.0225,0.0025,0.0075,401.0125,20.4425,0.1075,0.04,2.125,0.0075,3.4375,0.1125,,0.0,0.0,RecipeDB,0
Filipino Menudo,,,,498.4175,24.435,62.5575,16.2175,6.2775,1.9,1459.375,1426.4975,2.295,15.165,8660.9625,7.445,180.8,6.1,,220.405,0.2,RecipeDB,0
Chicken Marmalade,,,,53.0425,12.525,1.48,0.13,0.0175,0.05,884.0575,109.6975,0.335,10.3675,41.8725,8.47,13.9375,0.3125,,0.0,0.0,RecipeDB,0
Ginger Tea Salabat,,,,209.2,53.9925,0.07,0.0,0.0,0.0,21.3575,74.1875,0.005,53.365,0.0,0.0125,75.315,0.39,,0.0,0.0,RecipeDB,0
Linguini With Crab Fat (Aligue) Sauce,,,,150.2775,5.5475,4.63,12.3275,2.3925,1.57,93.675,176.3525,0.695,3.5475,245.8375,2.2675,92.8525,0.3325,,8.535,0.18,RecipeDB,0
Turon,,,,182.895,42.595,2.3425,1.4125,0.465,0.2875,26.13,297.265,1.7675,35.0425,111.02,5.915,33.225,0.59,,46.5,0.01,RecipeDB,0
Chicken adobo a la Boots,,,,2043.7675,10.435,151.0925,151.18,43.5775,30.7175,2513.3175,1994.595,0.4,7.005,1033.695,1.8125,96.27,6.8125,,859.585,2.17,RecipeDB,0
Tinolang Manok (Chicken Ginger With Green Papaya),,,,825.52,12.58,70.2025,53.1725,15.2025,11.4875,286.66,1003.155,2.065,6.9225,3612.9525,54.365,154.28,6.205,,320.7325,0.0,RecipeDB,0
Filipino Itlog Na Maalat at Kamatis (Egg and Tomato Salad),,,,18.0225,3.9125,0.8775,0.1875,0.0275,0.0775,4.81,222.2025,1.1625,2.4025,758.815,12.47,10.0425,0.28,,0.0,0.0,RecipeDB,0
Caramelised Tapioca Pudding,,,,59956.72,7165.98,351.535,3583.425,3172.77,41.435,2466.54,41179.8825,343.58,5584.63,201.31,420.0,3365.0525,288.145,,139.1125,0.03,RecipeDB,0
Mechado,,,,370.465,14.0725,51.0075,12.7725,4.4975,2.865,684.9375,1165.7975,3.62,6.5475,11300.3425,38.2,66.645,5.82,,114.0225,1.03,RecipeDB,0
"Chorizo, Chickpea & Banana Stew",,,,521.705,93.58,19.79,10.7,2.03,3.5025,95.9075,1370.3625,15.085,33.0775,593.145,36.43,70.9675,4.33,,4.6775,0.0,RecipeDB,0
Pancit Palabok (Pancit Lug-Lug),,,,966.9375,24.5425,35.1725,84.3775,67.2775,2.145,1294.495,528.8125,1.4275,0.68,414.12,21.215,245.48,1.63,,285.6,0.16,RecipeDB,0
Cheesy Creamy Baked Macaroni,,,,732.185,35.68,34.49,50.45,21.48,6.9225,970.59,739.155,3.1675,17.965,783.8775,2.7325,289.185,3.04,,146.0825,5.65,RecipeDB,0
Filipino Pancakes,,,,458.31,83.695,11.6825,7.4875,3.36,1.015,271.3175,261.48,1.8975,20.1675,332.64,0.0,262.8925,0.9925,,105.2,0.03,RecipeDB,0
Lumpia (Beef) Rolls,,,,312.9575,7.0075,23.1975,20.94,10.0375,0.9,539.0,489.7,1.275,2.325,5292.145,3.2775,32.69,2.515,,86.69,3.4,RecipeDB,0
Lomi Soup,,,,21038.73,1918.76,1923.0675,555.455,181.59,148.7575,8638.8325,26418.29,11.6,2.0,1256680.5625,2034.4175,1489.3325,1065.985,,39138.77,29.48,RecipeDB,1
Vermicelli (Sotanghon) With Chicken and Wood Ear Mushrooms,,,,648.0325,138.1925,22.725,8.9875,1.72,1.365,1226.8975,3155.3525,34.805,75.135,76430.8725,247.92,973.6475,10.3975,,0.0,0.01,RecipeDB,0
Authentic Filipino Champorado,,,,217.15,56.255,1.945,1.4075,0.8325,0.045,2.5425,270.7175,3.2025,50.0875,0.0,0.0,12.4325,1.6925,,0.0,0.0,RecipeDB,0
Filipino Ambrosia Fruit Salad With Macapuno,,,,551.44,24.84,7.16,51.22,43.27,0.7975,141.75,621.585,4.845,15.99,736.44,7.6375,46.8425,3.6275,,25.515,0.0,RecipeDB,0
Filipino Lumpia,,,,645.16,11.6375,28.5175,53.785,24.655,4.1675,1446.8075,710.6125,2.3075,3.8325,10692.19,5.1,36.1325,2.1675,,99.79,0.0,RecipeDB,0
Champorado (Chocolate Rice Pudding),,,,233.74,49.05,6.6825,3.51,1.2325,0.5075,124.9775,385.535,6.8825,3.76,0.0,0.0,40.995,2.625,,1.3,0.0,RecipeDB,0
Buko (Young Coconut) Pie,,,,707.2625,44.3075,4.7325,59.1575,31.2425,15.29,115.57,338.5725,6.73,30.1475,60.8325,3.04,59.4625,2.1875,,6.3275,0.0,RecipeDB,0
Lenguas De Gato (Cat's Tongue),,,,509.01,83.9,10.1325,15.1725,2.22,6.51,48.515,200.2975,4.0525,33.6975,20.1,0.0,136.485,1.075,,0.0,0.0,RecipeDB,0
Coconut Milk Adobo Dip (Sawsawang Adobo Sa Gata),,,,165.7225,9.9525,1.8675,14.345,12.695,0.17,10.635,206.705,1.73,6.29,19.1525,8.09,22.0125,1.1225,,0.0,0.0,RecipeDB,0
Filipino Lumpia Wrappers,,,,162.445,31.74,3.92,1.7475,0.5425,0.3875,18.935,47.27,0.9475,0.0925,67.5,0.0,16.875,0.355,,46.5,0.01,RecipeDB,0
"Filipino Style Chicken Soup With Mung Beans, Garlic and Bay Leav",,,,579.54,13.715,42.675,39.0175,14.105,6.0975,203.03,716.6275,3.3625,5.69,372.9125,12.815,82.0875,4.2675,,276.32,0.56,RecipeDB,0
Kutsinta - Philippines Brown Rice Cake,,,,562.57,139.55,2.48,0.56,0.15,0.1475,34.355,176.32,0.9475,106.7675,0.0,0.0,113.025,0.9175,,0.0,0.0,RecipeDB,0
Ginataang Mais (Sweet Rice With Corn and Coconut Milk),,,,560.835,83.105,7.175,24.8975,20.665,0.9475,35.2075,545.0875,4.8025,45.53,135.575,7.6075,59.975,2.5325,,0.0,0.0,RecipeDB,0
Empanada,,,,1529.3975,193.025,40.2975,65.4675,22.7525,8.7275,157.6875,1031.005,11.5075,32.0375,240.68,6.195,110.4675,4.51,,243.01,0.0,RecipeDB,0
Filipino Lumpia Sauce,,,,38.0875,9.4625,0.005,0.0,0.0,0.0,138.01,2.06,0.0175,7.3425,125.1375,0.0,1.6075,0.0325,,0.0,0.0,RecipeDB,0
Bringhe (Biringhi),,,,1392.5175,129.975,67.7075,69.2825,46.67,5.625,1674.4325,1760.33,11.2,35.5825,565.94,24.975,119.055,8.0825,,154.6,0.95,RecipeDB,0
Low Fat Chicken Adobo,,,,30.1125,2.4125,1.5225,1.275,0.19,0.1775,877.435,117.08,0.5775,0.2,9.5025,0.2325,16.36,0.475,,0.0,0.0,RecipeDB,0
Sinangag (Filipino Fried Rice),,,,861.7825,145.89,21.5675,21.2525,11.035,3.035,530.34,679.19,8.0,4.2125,3110.0,9.5125,84.21,3.7375,,186.0,0.08,RecipeDB,0
Adobo Rice,,,,251.51,7.7525,19.3425,15.7075,4.6225,5.5625,3666.1725,835.7325,1.1175,2.0375,940.6175,0.335,43.2225,2.44,,18.5375,0.0,RecipeDB,0
Buko Pandan,,,,789.9775,83.745,9.96,50.23,43.9125,0.645,258.085,612.1975,9.1775,72.68,98.82,5.1575,116.6025,3.585,,6.1,0.0,RecipeDB,0
Loco Filipino Sandwich,,,,114.3425,0.84,1.4075,11.69,1.5675,1.2025,1111.1575,82.6675,0.1275,0.085,20.3,0.0,5.67,0.2425,,9.57,0.0,RecipeDB,0
Easy Filipino Lumpia Recipe,,,,465.455,3.83,44.415,28.965,12.1125,1.2525,181.82,783.44,1.12,1.895,6682.4,2.36,40.415,4.6325,,140.6125,6.81,RecipeDB,0
Buko Salad (Filipino Young Coconut & Fruit Salad),,,,762.325,29.2225,8.5975,73.235,64.55,0.9575,30.5,839.825,10.2725,7.925,82.485,7.0175,34.45,5.12,,0.0,0.0,RecipeDB,0
Mixed Noodles,,,,481.36,48.4475,28.86,18.745,4.65,4.78,659.8075,500.9625,3.28,3.5675,451.755,12.2725,100.915,4.02,,121.275,0.14,RecipeDB,0
Filipino Chicken Chayote,,,,513.5375,6.5125,60.795,25.645,8.11,5.07,1737.1175,1055.71,0.1625,3.8575,249.0675,1.2675,118.985,2.8125,,155.63,0.95,RecipeDB,0
Avocado Milkshakes,,,,90.9075,14.215,2.56,2.6575,1.515,0.1575,35.2825,110.36,0.0,14.3725,131.76,0.0,93.1475,0.0625,,8.1325,0.0,RecipeDB,0
Simply Iced Melon,,,,19.7775,1.7375,0.9875,1.0025,0.57,0.06,14.85,49.47,0.03,1.81,166.0875,1.265,40.7,0.015,,3.05,0.0,RecipeDB,0
Adobong Pusit Filipino Squid,,,,184.6225,18.75,10.0825,7.4,4.2075,0.6325,33.6175,462.3475,1.7525,14.1725,1147.51,19.445,40.2575,0.855,,148.495,0.0,RecipeDB,0
Achara (Pickled Papaya),,,,411.7475,98.32,5.69,0.3875,0.0875,0.1325,43.22,921.7875,7.9275,75.7325,2901.6125,39.305,103.2625,3.055,,0.0,0.0,RecipeDB,0
Chili Crabs,,,,127.5675,5.245,23.4875,0.86,0.145,0.2025,1160.6925,335.695,0.765,2.495,134.4925,18.47,73.7125,1.06,,52.5,0.0,RecipeDB,0
Sans Rival,,,,181.5225,13.15,11.65,8.6875,2.7475,1.465,272.76,117.795,3.195,5.5,368.965,0.0,61.4375,1.325,,278.625,0.0,RecipeDB,0
Tocino (Version 4),,,,197.3375,16.7975,22.44,3.965,2.9125,0.245,77.57,265.5475,0.0,16.695,113.3325,0.0,135.7525,1.6475,,56.665,0.0,RecipeDB,0
Tocino Del Cielo,,,,1148.105,205.41,16.85,28.1975,10.1475,4.465,60.615,174.3925,0.0,200.9575,1532.125,0.0,179.0775,3.6475,,1152.8125,0.0,RecipeDB,0
Easy White Puto,,,,146.53,27.475,3.01,2.6825,1.2425,0.3275,38.18,84.9625,0.0,27.4,141.615,0.0,61.7275,0.325,,51.075,0.01,RecipeDB,0
Filipino Corned Beef Hash over Rice,,,,110.92,2.625,19.9925,2.3175,0.885,0.1,48.255,328.28,0.36,0.77,0.62,2.23,18.585,1.66,,46.75,0.38,RecipeDB,0
Ma's Kare-Kare,,,,756.335,18.57,96.12,33.8775,5.3725,9.5675,3407.595,1545.9725,5.74,8.2625,401.7375,2.955,520.875,7.1225,,198.3325,0.0,RecipeDB,0
Philippines Fried Rice,,,,691.2625,151.28,14.05,1.2775,0.3425,0.3525,230.92,282.5025,2.8825,1.0675,1.5675,2.125,65.1475,8.2375,,0.0,0.0,RecipeDB,0
Creamy Coffee Gelatin,,,,380.475,56.42,6.365,14.73,10.7475,0.8325,74.0625,226.3925,0.99,54.74,239.86,1.26,71.735,1.58,,139.5,0.05,RecipeDB,0
Filipino Carioca,,,,371.12,50.6775,4.0625,17.985,15.605,0.34,14.6,237.8575,3.7375,16.135,0.0,1.92,25.3625,1.4575,,0.0,0.0,RecipeDB,0
Vegetarian Sinigang (Filipino Tamarind or Sour Soup),,,,44.4725,7.9475,2.7925,0.835,0.13,0.435,19.4725,247.3275,2.0475,4.6775,617.9475,20.885,108.3,0.8475,,0.0,0.0,RecipeDB,0
Karioka (Filipino Chewy Balls) With Sweet Sugar Sauce,,,,676.1,66.205,4.6875,47.935,42.505,0.5225,45.4,599.95,5.31,60.3075,0.0,5.535,76.55,3.705,,0.0,0.0,RecipeDB,0
Creamy Macaroni Chicken Soup (Sopas),,,,329.095,8.5925,26.48,21.3175,9.88,3.9075,447.285,472.255,2.3175,3.11,2773.385,4.5025,66.16,1.695,,72.5725,0.47,RecipeDB,0
Purple Rice Balls,,,,546.4225,100.2975,7.9725,13.005,9.455,1.0325,13.7525,345.3725,6.03,27.5225,0.0,0.99,27.405,2.015,,0.0,0.0,RecipeDB,0
The Filipino Elvis Sandwich,,,,114.1875,15.7925,2.615,5.585,0.8175,2.4075,8.8875,247.95,2.5075,6.8775,43.5375,4.8925,50.0625,0.4275,,0.0,0.0,RecipeDB,0
Tofu and Bean Sprouts,,,,49.82,1.8825,5.5925,2.765,0.4,1.5525,5.73,99.675,0.95,0.44,187.45,1.3425,218.785,0.8925,,0.0,0.0,RecipeDB,0
Filipino Tomato Curry Sauce,,,,254.42,2.935,0.8675,27.3525,3.7825,2.9175,224.1125,77.125,1.325,0.7775,712.0725,2.8575,23.3325,0.6975,,0.0,0.0,RecipeDB,0
Filipino Custard Chiffon Cake,,,,979.95,104.27,21.835,53.64,37.0025,2.5375,534.7025,648.1875,3.535,32.985,1198.285,25.7675,276.4475,9.1625,,296.9375,0.03,RecipeDB,0
Champorado (Filipino Chocolate Rice Porridge-Pudding),,,,153.8725,15.0925,1.03,10.7275,9.5125,0.115,8.0175,122.01,0.99,14.025,0.0,1.26,13.1575,0.7825,,0.0,0.0,RecipeDB,0
